,geneA,geneB,number of patients
0,TP53,None,42
1,TP53,RB1,23
2,TP53,GPR124,3
3,TP53,MLL2,3
4,TP53,PIK3R2,3
5,TP53,STK11,3
6,TP53,BRCA1,3
7,TP53,BRCA2,5
8,TP53,FLYWCH1,3
9,TP53,KDM5A,3
10,TP53,MED12,4
11,TP53,ATRX,14
12,TP53,PTEN,9
13,TP53,FAS13,3
14,TP53,RICTOR ,3
15,TP53,IRS2 ,3
16,TP53,NF1 ,3
17,TP53,CDKN2A,4
18,TP53,CREBBP,4
19,TP53,DNMT3A,3
20,TP53,MAP2K4,4
21,TP53,MLL3,5
22,TP53,TSC2,4
23,TP53,AR,3
24,TP53,MYO18A,3
25,TP53,PCLO,7
26,TP53,WDR90,4
27,TP53,ERBB4,3
28,TP53,HNF1A,3
29,TP53,NUP93,3
30,TP53,MTOR,3
31,TP53,NTRK1,4
32,TP53,PRKDC,3
33,TP53,FANCA,5
34,TP53,PTCH1,3
35,TP53,MKI67,3
36,TP53,MSH3,3
37,TP53,NOTCH1,3
38,TP53,RELN,3
39,TP53,NCOR2,4
40,TP53,CSF1R,3
41,TP53,EP300,3
42,TP53,!RB1,19
43,TP53,!CDK4,42
44,TP53,!CEBPA,41
45,TP53,!FGF19,41
46,TP53,!GPR124,39
47,TP53,!MLL2,39
48,TP53,!PIK3CA,40
49,TP53,!PIK3R2,39
50,TP53,!STK11,39
51,TP53,!BRCA2 loss,41
52,TP53,!BLM,41
53,TP53,!BRCA1,39
54,TP53,!MEN1,41
55,TP53,!ASXL1,40
56,TP53,!AXL,41
57,TP53,!BARD1,40
58,TP53,!BRCA2,37
59,TP53,!FLT3,41
60,TP53,!FLYWCH1,39
61,TP53,!FOXL2,40
62,TP53,!GNAS,40
63,TP53,!KDM5A,39
64,TP53,!MED12,38
65,TP53,!PDCD11,40
66,TP53,!SMC3,41
67,TP53,!PTPRD,41
68,TP53,!ALK-STK32B ALK FUSION,41
69,TP53,!C17orf39 amp,40
70,TP53,!C17orf39,41
71,TP53,!ATRX,28
72,TP53,!ATRX11,41
73,TP53,!TNFAIP3,42
74,TP53,!CIITA DELETION,41
75,TP53,!PTEN,33
76,TP53,!CKS1B,41
77,TP53,!CAD,42
78,TP53,!FAS,41
79,TP53,!CRKL,41
80,TP53,!MCL1,41
81,TP53,!FGF14,41
82,TP53,!FGF1412,41
83,TP53,!TBL1XR1,41
84,TP53,!FAS13,39
85,TP53,!CCNE1 ,40
86,TP53,!RICTOR ,39
87,TP53,!MYST3 ,41
88,TP53,!IRS2 ,39
89,TP53,!MSH2,42
90,TP53,!PTPRO,42
91,TP53,!KDR ,40
92,TP53,!KIT ,41
93,TP53,!ERBB2 ,40
94,TP53,!NF1 ,39
95,TP53,!CDKN2A,38
96,TP53,!FHIT,41
97,TP53,!CREBBP,38
98,TP53,!AURKB ,42
99,TP53,!BCL2,41
100,TP53,!BCL2L2 ,42
101,TP53,!KDM5A14,42
102,TP53,!DNMT3A,39
103,TP53,!ARID1A,41
104,TP53,!BTK,42
105,TP53,!CREBBP15,42
106,TP53,!DDR2,40
107,TP53,!FLCN,40
108,TP53,!FLT316,42
109,TP53,!GATA3,42
110,TP53,!GNAS17,42
111,TP53,!LRP1B,42
112,TP53,!LRP1B18,42
113,TP53,!MAP2K4,38
114,TP53,!MLL3,37
115,TP53,!NF1,41
116,TP53,!NOD1,42
117,TP53,!NOTCH2,41
118,TP53,!PDGFRB,41
119,TP53,!SETD2,41
120,TP53,!TSC2,38
121,TP53,!ASMTL,42
122,TP53,!CDK12,41
123,TP53,!CIITA,40
124,TP53,!ETS1,42
125,TP53,!HIST1H1D,42
126,TP53,!IKZF2,42
127,TP53,!IDH1,42
128,TP53,!IRF4,42
129,TP53,!MAP2K1,42
130,TP53,!MSH6,42
131,TP53,!SUFU,41
132,TP53,!AR,39
133,TP53,!PIK3CG,40
134,TP53,!ARHGAP26,40
135,TP53,!ATM,40
136,TP53,!CD274,41
137,TP53,!EXOSC6,40
138,TP53,!MYO18A,39
139,TP53,!PCLO,35
140,TP53,!PRSS8,41
141,TP53,!TNFRSF17,41
142,TP53,!WDR90,38
143,TP53,!GATA2,41
144,TP53,!MAP3K6,40
145,TP53,!SOX2,40
146,TP53,!TLL2,41
147,TP53,!CSF3R,41
148,TP53,!CTCF,41
149,TP53,!DNM2,41
150,TP53,!ERBB4,39
151,TP53,!HNF1A,39
152,TP53,!HSP90AA1,42
153,TP53,!NKX2-1,40
154,TP53,!NUP93,39
155,TP53,!CDKN2B,41
156,TP53,!DOT1L,40
157,TP53,!FANCC,41
158,TP53,!FBXW7,41
159,TP53,!MTOR,39
160,TP53,!NTRK1,38
161,TP53,!PRKDC,39
162,TP53,!STAT5B,42
163,TP53,!CARD11,41
164,TP53,!EPHA3,41
165,TP53,!FANCA,37
166,TP53,!FANCG,41
167,TP53,!GRIN2A,41
168,TP53,!IL7R,40
169,TP53,!ATR,40
170,TP53,!FANCE,41
171,TP53,!BCOR,42
