,geneA,geneB,number of patients
0,TP53,None,30
1,TP53,RB1,17
2,TP53,GPR124,3
3,TP53,MLL2,3
4,TP53,BRCA2,3
5,TP53,FLYWCH1,3
6,TP53,KDM5A,3
7,TP53,MED12,4
8,TP53,ATRX,10
9,TP53,PTEN,6
10,TP53,CDKN2A,3
11,TP53,CREBBP,4
12,TP53,DNMT3A,3
13,TP53,MLL3,4
14,TP53,TSC2,3
15,TP53,PCLO,3
16,TP53,WDR90,4
17,TP53,NTRK1,4
18,TP53,PRKDC,3
19,TP53,FANCA,3
20,TP53,NCOR2,3
21,TP53,!RB1,13
22,TP53,!CDK4,30
23,TP53,!CEBPA,29
24,TP53,!FGF19,29
25,TP53,!GPR124,27
26,TP53,!MLL2,27
27,TP53,!PIK3CA,29
28,TP53,!PIK3R2,30
29,TP53,!STK11,28
30,TP53,!BRCA2 loss,30
31,TP53,!BLM,30
32,TP53,!BRCA1,28
33,TP53,!MEN1,30
34,TP53,!ASXL1,29
35,TP53,!AXL,29
36,TP53,!BARD1,28
37,TP53,!BRCA2,27
38,TP53,!FLT3,29
39,TP53,!FLYWCH1,27
40,TP53,!FOXL2,28
41,TP53,!GNAS,29
42,TP53,!KDM5A,27
43,TP53,!MED12,26
44,TP53,!PDCD11,29
45,TP53,!SMC3,29
46,TP53,!PTPRD,29
47,TP53,!ALK-STK32B ALK FUSION,29
48,TP53,!C17orf39 amp,29
49,TP53,!C17orf39,29
50,TP53,!ATRX,20
51,TP53,!ATRX11,30
52,TP53,!TNFAIP3,30
53,TP53,!CIITA DELETION,29
54,TP53,!PTEN,24
55,TP53,!CKS1B,29
56,TP53,!CAD,30
57,TP53,!FAS,29
58,TP53,!CRKL,30
59,TP53,!MCL1,29
60,TP53,!FGF14,30
61,TP53,!FGF1412,29
62,TP53,!TBL1XR1,29
63,TP53,!FAS13,28
64,TP53,!CCNE1 ,29
65,TP53,!RICTOR ,28
66,TP53,!MYST3 ,29
67,TP53,!IRS2 ,28
68,TP53,!MSH2,30
69,TP53,!PTPRO,30
70,TP53,!KDR ,28
71,TP53,!KIT ,29
72,TP53,!ERBB2 ,29
73,TP53,!NF1 ,28
74,TP53,!CDKN2A,27
75,TP53,!FHIT,29
76,TP53,!CREBBP,26
77,TP53,!AURKB ,30
78,TP53,!BCL2,30
79,TP53,!BCL2L2 ,30
80,TP53,!KDM5A14,30
81,TP53,!DNMT3A,27
82,TP53,!ARID1A,29
83,TP53,!BTK,30
84,TP53,!CREBBP15,30
85,TP53,!DDR2,28
86,TP53,!FLCN,30
87,TP53,!FLT316,30
88,TP53,!GATA3,30
89,TP53,!GNAS17,30
90,TP53,!LRP1B,30
91,TP53,!LRP1B18,30
92,TP53,!MAP2K4,28
93,TP53,!MLL3,26
94,TP53,!NF1,29
95,TP53,!NOD1,30
96,TP53,!NOTCH2,30
97,TP53,!PDGFRB,30
98,TP53,!SETD2,29
99,TP53,!TSC2,27
100,TP53,!ASMTL,30
101,TP53,!CDK12,29
102,TP53,!CIITA,29
103,TP53,!ETS1,30
