,geneA,geneB,number of patients
0,TP53,None,12
1,TP53,RB1,6
2,TP53,PIK3R2,3
3,TP53,ATRX,4
4,TP53,PTEN,3
5,TP53,PCLO,4
6,TP53,!RB1,6
7,TP53,!CDK4,12
8,TP53,!CEBPA,12
9,TP53,!FGF19,12
10,TP53,!GPR124,12
11,TP53,!MLL2,12
12,TP53,!PIK3CA,11
13,TP53,!PIK3R2,9
14,TP53,!STK11,11
15,TP53,!BRCA2 loss,11
16,TP53,!BLM,11
17,TP53,!BRCA1,11
18,TP53,!MEN1,11
19,TP53,!ASXL1,11
20,TP53,!AXL,12
21,TP53,!BARD1,12
22,TP53,!BRCA2,10
23,TP53,!FLT3,12
24,TP53,!FLYWCH1,12
25,TP53,!FOXL2,12
26,TP53,!GNAS,11
27,TP53,!KDM5A,12
28,TP53,!MED12,12
29,TP53,!PDCD11,11
30,TP53,!SMC3,12
31,TP53,!PTPRD,12
32,TP53,!ALK-STK32B ALK FUSION,12
33,TP53,!C17orf39 amp,11
34,TP53,!C17orf39,12
35,TP53,!ATRX,8
36,TP53,!ATRX11,11
37,TP53,!TNFAIP3,12
38,TP53,!CIITA DELETION,12
39,TP53,!PTEN,9
40,TP53,!CKS1B,12
41,TP53,!CAD,12
42,TP53,!FAS,12
43,TP53,!CRKL,11
44,TP53,!MCL1,12
45,TP53,!FGF14,11
46,TP53,!FGF1412,12
47,TP53,!TBL1XR1,12
48,TP53,!FAS13,11
49,TP53,!CCNE1 ,11
50,TP53,!RICTOR ,11
51,TP53,!MYST3 ,12
52,TP53,!IRS2 ,11
53,TP53,!MSH2,12
54,TP53,!PTPRO,12
55,TP53,!KDR ,12
56,TP53,!KIT ,12
57,TP53,!ERBB2 ,11
58,TP53,!NF1 ,11
59,TP53,!CDKN2A,11
60,TP53,!FHIT,12
61,TP53,!CREBBP,12
62,TP53,!AURKB ,12
63,TP53,!BCL2,11
64,TP53,!BCL2L2 ,12
65,TP53,!KDM5A14,12
66,TP53,!DNMT3A,12
67,TP53,!ARID1A,12
68,TP53,!BTK,12
69,TP53,!CREBBP15,12
70,TP53,!DDR2,12
71,TP53,!FLCN,10
72,TP53,!FLT316,12
73,TP53,!GATA3,12
74,TP53,!GNAS17,12
75,TP53,!LRP1B,12
76,TP53,!LRP1B18,12
77,TP53,!MAP2K4,10
78,TP53,!MLL3,11
79,TP53,!NF1,12
80,TP53,!NOD1,12
81,TP53,!NOTCH2,11
82,TP53,!PDGFRB,11
83,TP53,!SETD2,12
84,TP53,!TSC2,11
85,TP53,!ASMTL,12
86,TP53,!CDK12,12
87,TP53,!CIITA,11
88,TP53,!ETS1,12
89,TP53,!HIST1H1D,12
90,TP53,!IKZF2,12
91,TP53,!IDH1,12
92,TP53,!IRF4,12
93,TP53,!MAP2K1,12
94,TP53,!MSH6,12
95,TP53,!SUFU,11
96,TP53,!AR,11
97,TP53,!PIK3CG,12
98,TP53,!ARHGAP26,12
99,TP53,!ATM,11
100,TP53,!CD274,11
101,TP53,!EXOSC6,11
102,TP53,!MYO18A,11
103,TP53,!PCLO,8
104,TP53,!PRSS8,12
105,TP53,!TNFRSF17,12
106,TP53,!WDR90,12
107,TP53,!GATA2,12
108,TP53,!MAP3K6,11
109,TP53,!SOX2,12
110,TP53,!TLL2,12
