"","X","geneA","geneB","number.of.patients","p.value","logp","geneCombo"
"26",25,"TP53","!GPR124",27,0.124494028517394,0.904851479444878,"TP53;!GPR124"
"30",29,"TP53","!STK11",28,0.124494028517394,0.904851479444878,"TP53;!STK11"
"112",111,"TP53","!AR",28,0.124494028517394,0.904851479444878,"TP53;!AR"
"113",112,"TP53","!PIK3CG",28,0.124494028517394,0.904851479444878,"TP53;!PIK3CG"
"297",296,"TP53","!APC",28,0.149545551937417,0.825226500036635,"TP53;!APC"
"318",317,"RB1","!CEBPA",23,0.0995156020925241,1.00210882506837,"RB1;!CEBPA"
"319",318,"RB1","!FGF19",23,0.0995156020925241,1.00210882506837,"RB1;!FGF19"
"320",319,"RB1","!GPR124",22,0.0442830540212897,1.35376243524462,"RB1;!GPR124"
"324",323,"RB1","!STK11",22,0.0442830540212897,1.35376243524462,"RB1;!STK11"
"331",330,"RB1","!BARD1",22,0.12163304069829,0.914948436216107,"RB1;!BARD1"
"332",331,"RB1","!BRCA2",22,0.146980972964484,0.832738882063814,"RB1;!BRCA2"
"334",333,"RB1","!FLYWCH1",21,0.12118836407406,0.916539077042855,"RB1;!FLYWCH1"
"337",336,"RB1","!KDM5A",22,0.129827658930064,0.88663277409143,"RB1;!KDM5A"
"345",344,"RB1","!ATRX",18,0.143738453401619,0.842427032380037,"RB1;!ATRX"
"372",371,"RB1","!AURKB",23,0.148159137543732,0.82927155874724,"RB1;!AURKB"
"374",373,"RB1","!BCL2L2",23,0.148159137543732,0.82927155874724,"RB1;!BCL2L2"
"375",374,"RB1","!KDM5A14",23,0.148159137543732,0.82927155874724,"RB1;!KDM5A14"
"407",406,"RB1","!PIK3CG",23,0.0995156020925241,1.00210882506837,"RB1;!PIK3CG"
"417",416,"RB1","!GATA2",22,0.144056482052836,0.841467195165992,"RB1;!GATA2"
"424",423,"RB1","!ERBB4",22,0.122023342028655,0.913557084533544,"RB1;!ERBB4"
"425",424,"RB1","!HNF1A",23,0.0995156020925241,1.00210882506837,"RB1;!HNF1A"
"437",436,"RB1","!CARD11",22,0.149829059291707,0.824403947209938,"RB1;!CARD11"
"439",438,"RB1","!FANCA",21,0.129353966953461,0.888220248048477,"RB1;!FANCA"
"441",440,"RB1","!GRIN2A",22,0.144178150292071,0.841100550480508,"RB1;!GRIN2A"
"443",442,"RB1","!ATR",23,0.148159137543732,0.82927155874724,"RB1;!ATR"
"445",444,"RB1","!BCOR",23,0.148159137543732,0.82927155874724,"RB1;!BCOR"
"447",446,"RB1","!DAXX",22,0.139334260871297,0.855942081868466,"RB1;!DAXX"
"448",447,"RB1","!INPP5D",23,0.148159137543732,0.82927155874724,"RB1;!INPP5D"
"449",448,"RB1","!PTCH1",22,0.12163304069829,0.914948436216107,"RB1;!PTCH1"
"450",449,"RB1","!SDHA",23,0.148159137543732,0.82927155874724,"RB1;!SDHA"
"451",450,"RB1","!TFC3",23,0.148159137543732,0.82927155874724,"RB1;!TFC3"
"452",451,"RB1","!TNFRSF11A",23,0.148159137543732,0.82927155874724,"RB1;!TNFRSF11A"
"500",499,"RB1","!CD36",22,0.141785873137709,0.848367038010295,"RB1;!CD36"
"508",507,"RB1","!CPS1",22,0.148871853126112,0.827187405589159,"RB1;!CPS1"
"512",511,"RB1","!XBP1",22,0.0892414776662498,1.0494332472521,"RB1;!XBP1"
"517",516,"RB1","!BRSK1",23,0.0995156020925241,1.00210882506837,"RB1;!BRSK1"
"552",551,"RB1","!FLT4",22,0.0846880701109884,1.07217776381187,"RB1;!FLT4"
"566",565,"RB1","!EMSY",23,0.0995156020925241,1.00210882506837,"RB1;!EMSY"
"567",566,"RB1","!CTNNA1",23,0.0995156020925241,1.00210882506837,"RB1;!CTNNA1"
"568",567,"RB1","!EED",23,0.0995156020925241,1.00210882506837,"RB1;!EED"
"569",568,"RB1","!EPHB1",23,0.0995156020925241,1.00210882506837,"RB1;!EPHB1"
"570",569,"RB1","!MIB1",23,0.0995156020925241,1.00210882506837,"RB1;!MIB1"
"571",570,"RB1","!TUSC3",23,0.0995156020925241,1.00210882506837,"RB1;!TUSC3"
"578",577,"RB1","!ALK",23,0.148159137543732,0.82927155874724,"RB1;!ALK"
"580",579,"RB1","!BCL7A",23,0.148159137543732,0.82927155874724,"RB1;!BCL7A"
"581",580,"RB1","!ECT2L",23,0.148159137543732,0.82927155874724,"RB1;!ECT2L"
"583",582,"RB1","!FOXO3",23,0.148159137543732,0.82927155874724,"RB1;!FOXO3"
"584",583,"RB1","!JAZF1",23,0.148159137543732,0.82927155874724,"RB1;!JAZF1"
"585",584,"RB1","!KDM6A",23,0.148159137543732,0.82927155874724,"RB1;!KDM6A"
"587",586,"RB1","!PBRM128",23,0.148159137543732,0.82927155874724,"RB1;!PBRM128"
"590",589,"RB1","!CDKN1B",22,0.0964699659083806,1.01560787495148,"RB1;!CDKN1B"
"591",590,"RB1","!APC",22,0.0995156020925241,1.00210882506837,"RB1;!APC"
"592",591,"RB1","!PTPN2",23,0.0995156020925241,1.00210882506837,"RB1;!PTPN2"
"593",592,"RB1","!RET",23,0.0995156020925241,1.00210882506837,"RB1;!RET"
"9152",9151,"!TP53","!FOXL2",14,0.100098069184282,0.999574299650546,"!TP53;!FOXL2"
