
Record    Record:Dissimilarity, k = 10
Record = 0 [(347, 0.0), (395, 0.0), (451, 0.0), (241, 0.01), (475, 0.01), (30, 0.01), (70, 0.01), (513, 0.01), (376, 0.01), (27, 0.01)]
Record = 1 [(147, 0.01), (50, 0.01), (475, 0.01), (436, 0.01), (179, 0.01), (170, 0.01), (411, 0.01), (451, 0.01), (347, 0.02), (70, 0.02)]
Record = 2 [(49, 1.08), (468, 1.77), (353, 1.77), (472, 1.77), (37, 1.78), (152, 1.79), (497, 1.8), (143, 1.81), (102, 1.82), (279, 1.82)]
Record = 3 [(183, 1.39), (302, 2.02), (35, 2.05), (123, 2.12), (155, 2.13), (454, 2.21), (314, 2.23), (199, 2.24), (4, 2.24), (283, 2.26)]
Record = 4 [(283, 0.0), (199, 0.0), (357, 0.01), (171, 0.01), (87, 0.02), (373, 0.02), (320, 0.03), (120, 0.03), (63, 0.03), (12, 0.03)]
Record = 5 [(429, 0.01), (487, 0.02), (432, 0.03), (240, 0.04), (112, 0.04), (90, 0.04), (269, 0.04), (434, 0.05), (95, 0.05), (338, 0.05)]
Record = 6 [(158, 0.03), (305, 0.79), (340, 0.79), (222, 0.79), (230, 0.79), (423, 0.79), (360, 0.79), (409, 0.79), (7, 0.79), (71, 0.79)]
Record = 7 [(369, 0.0), (45, 0.0), (340, 0.01), (389, 0.01), (230, 0.01), (89, 0.01), (491, 0.01), (222, 0.01), (18, 0.02), (71, 0.03)]
Record = 8 [(238, 0.09), (378, 0.1), (116, 0.14), (182, 0.14), (296, 0.17), (359, 0.8), (401, 1.0), (130, 1.0), (367, 1.0), (335, 1.0)]
Record = 9 [(241, 0.01), (50, 0.01), (436, 0.01), (475, 0.01), (86, 0.02), (502, 0.02), (209, 0.02), (376, 0.02), (100, 0.02), (513, 0.02)]
Record = 10 [(186, 0.01), (447, 0.01), (1, 0.04), (260, 0.04), (436, 0.05), (170, 0.05), (50, 0.06), (510, 0.06), (475, 0.07), (411, 0.07)]
Record = 11 [(426, 1.03), (165, 1.72), (150, 2.03), (428, 2.03), (314, 2.06), (65, 2.13), (154, 2.18), (415, 2.21), (160, 2.23), (455, 2.24)]
Record = 12 [(226, 0.01), (120, 0.01), (494, 0.01), (171, 0.02), (373, 0.02), (87, 0.02), (283, 0.02), (357, 0.02), (320, 0.03), (4, 0.03)]
Record = 13 [(327, 0.04), (317, 0.05), (156, 0.06), (397, 1.02), (159, 1.02), (266, 1.03), (315, 1.03), (190, 1.03), (427, 1.04), (345, 1.04)]
Record = 14 [(52, 0.02), (391, 0.04), (180, 0.05), (125, 0.05), (341, 0.07), (498, 0.08), (290, 0.08), (456, 0.08), (174, 0.08), (133, 0.08)]
Record = 15 [(392, 0.03), (25, 0.04), (229, 0.05), (20, 0.06), (267, 0.07), (351, 0.07), (203, 0.09), (187, 0.1), (478, 0.1), (335, 0.11)]
Record = 16 [(293, 0.0), (508, 0.01), (288, 0.06), (340, 1.0), (278, 1.01), (7, 1.01), (491, 1.01), (45, 1.01), (222, 1.01), (389, 1.01)]
Record = 17 [(225, 1.0), (333, 1.02), (215, 1.04), (309, 1.1), (469, 1.11), (477, 1.57), (107, 1.86), (458, 2.08), (53, 2.09), (404, 2.09)]
Record = 18 [(340, 0.01), (389, 0.01), (89, 0.01), (369, 0.02), (7, 0.02), (491, 0.02), (45, 0.02), (222, 0.03), (409, 0.04), (230, 0.04)]
Record = 19 [(6, 2.03), (224, 2.04), (417, 2.08), (516, 2.08), (158, 2.11), (146, 2.79), (278, 2.79), (369, 2.79), (441, 2.79), (45, 2.79)]
Record = 20 [(351, 0.01), (229, 0.02), (25, 0.03), (478, 0.03), (100, 0.05), (390, 0.05), (86, 0.05), (313, 0.06), (15, 0.06), (267, 0.06)]
Record = 21 [(243, 0.01), (124, 0.04), (52, 1.02), (14, 1.02), (125, 1.07), (287, 1.07), (174, 1.09), (180, 1.09), (391, 1.1), (386, 1.11)]
Record = 22 [(244, 0.0), (372, 0.01), (200, 0.01), (285, 0.01), (326, 0.02), (474, 0.03), (213, 0.04), (34, 0.05), (223, 0.07), (453, 0.11)]
Record = 23 [(192, 1.02), (213, 1.04), (453, 1.06), (68, 1.11), (200, 1.11), (372, 1.11), (22, 1.12), (244, 1.12), (326, 1.15), (488, 1.16)]
Record = 24 [(422, 0.02), (491, 0.04), (495, 0.04), (369, 0.05), (89, 0.05), (45, 0.05), (101, 0.06), (389, 0.06), (18, 0.06), (348, 0.06)]
Record = 25 [(229, 0.01), (20, 0.03), (15, 0.04), (351, 0.04), (267, 0.05), (203, 0.05), (392, 0.06), (187, 0.07), (335, 0.08), (478, 0.08)]
Record = 26 [(179, 0.0), (147, 0.0), (70, 0.0), (46, 0.0), (47, 0.0), (50, 0.01), (30, 0.01), (376, 0.01), (170, 0.01), (475, 0.01)]
Record = 27 [(411, 0.0), (451, 0.0), (395, 0.0), (0, 0.01), (113, 0.01), (179, 0.01), (376, 0.01), (347, 0.01), (419, 0.01), (30, 0.01)]
Record = 28 [(372, 0.22), (244, 0.22), (474, 0.22), (22, 0.23), (200, 0.23), (285, 0.23), (326, 0.24), (34, 0.25), (223, 0.28), (213, 0.28)]
Record = 29 [(504, 1.04), (417, 1.07), (276, 1.35), (420, 1.8), (2, 2.0), (301, 2.0), (79, 2.0), (358, 2.01), (224, 2.04), (516, 2.08)]
Record = 30 [(0, 0.01), (147, 0.01), (179, 0.01), (70, 0.01), (376, 0.01), (347, 0.01), (27, 0.01), (395, 0.01), (419, 0.01), (47, 0.01)]
Record = 31 [(431, 0.03), (403, 0.05), (262, 0.11), (233, 0.13), (195, 0.14), (193, 0.16), (408, 0.16), (54, 0.26), (64, 0.28), (388, 0.28)]
Record = 32 [(68, 0.1), (380, 1.01), (256, 1.03), (466, 1.03), (115, 1.03), (492, 1.03), (459, 1.03), (435, 1.03), (72, 1.04), (415, 1.05)]
Record = 33 [(377, 0.07), (252, 0.09), (162, 0.11), (64, 0.13), (66, 0.14), (54, 0.15), (388, 0.16), (145, 0.17), (195, 0.17), (408, 0.18)]
Record = 34 [(285, 0.02), (223, 0.02), (244, 0.04), (474, 0.04), (22, 0.05), (326, 0.05), (372, 0.05), (200, 0.06), (164, 0.11), (213, 0.15)]
Record = 35 [(123, 0.11), (192, 1.03), (338, 1.09), (488, 1.09), (265, 1.1), (112, 1.12), (5, 1.12), (90, 1.13), (83, 1.14), (299, 1.15)]
Record = 36 [(268, 0.01), (176, 0.13), (190, 1.0), (450, 1.01), (315, 1.01), (345, 1.01), (427, 1.01), (159, 1.01), (263, 1.03), (157, 1.03)]
Record = 37 [(336, 0.04), (218, 0.2), (353, 1.01), (468, 1.01), (102, 1.02), (48, 1.02), (208, 1.02), (293, 1.03), (472, 1.03), (16, 1.03)]
Record = 38 [(325, 0.01), (106, 0.01), (178, 0.01), (322, 0.02), (105, 0.02), (141, 0.02), (433, 0.03), (269, 0.03), (424, 0.05), (429, 0.05)]
Record = 39 [(119, 0.01), (242, 0.02), (393, 0.02), (421, 0.05), (221, 0.09), (514, 0.11), (130, 0.14), (97, 0.15), (382, 0.15), (294, 0.19)]
Record = 40 [(69, 0.73), (364, 1.02), (94, 1.05), (266, 1.1), (331, 1.11), (327, 1.12), (156, 1.12), (455, 1.14), (13, 1.16), (239, 1.16)]
Record = 41 [(508, 1.01), (16, 1.03), (293, 1.05), (288, 1.13), (230, 2.0), (71, 2.0), (360, 2.0), (305, 2.0), (370, 2.01), (423, 2.01)]
Record = 42 [(435, 0.01), (342, 0.01), (137, 0.03), (320, 0.04), (171, 0.04), (380, 0.04), (59, 0.05), (87, 0.05), (494, 0.05), (63, 0.05)]
Record = 43 [(144, 0.04), (48, 0.27), (239, 0.4), (266, 0.43), (94, 0.6), (128, 1.0), (69, 1.0), (210, 1.2), (37, 1.23), (13, 1.25)]
Record = 44 [(102, 1.01), (104, 1.01), (412, 1.01), (88, 1.03), (324, 1.04), (152, 1.04), (353, 1.06), (396, 1.06), (468, 1.07), (177, 1.08)]
Record = 45 [(369, 0.0), (7, 0.0), (340, 0.01), (389, 0.01), (89, 0.01), (491, 0.01), (222, 0.01), (18, 0.02), (230, 0.03), (101, 0.03)]
Record = 46 [(26, 0.0), (47, 0.0), (419, 0.01), (147, 0.01), (179, 0.01), (70, 0.01), (376, 0.01), (188, 0.01), (170, 0.01), (30, 0.01)]
Record = 47 [(179, 0.0), (70, 0.0), (376, 0.0), (46, 0.0), (47, 0.0), (27, 0.01), (50, 0.01), (147, 0.01), (30, 0.01), (475, 0.01)]
Record = 48 [(239, 0.04), (266, 0.07), (43, 0.27), (144, 0.35), (94, 0.37), (210, 0.82), (208, 1.02), (37, 1.02), (420, 1.03), (397, 1.03)]
Record = 49 [(279, 0.8), (497, 0.81), (143, 0.81), (472, 0.83), (353, 0.9), (468, 0.92), (152, 0.93), (412, 0.96), (102, 0.99), (104, 1.0)]
Record = 50 [(436, 0.0), (475, 0.0), (1, 0.01), (411, 0.01), (70, 0.01), (376, 0.01), (9, 0.01), (170, 0.01), (451, 0.01), (47, 0.01)]
Record = 51 [(340, 1.0), (491, 1.0), (369, 1.01), (389, 1.01), (7, 1.01), (89, 1.01), (45, 1.01), (18, 1.02), (83, 1.02), (222, 1.02)]
Record = 52 [(14, 0.02), (125, 0.04), (180, 0.05), (498, 0.06), (386, 0.07), (391, 0.08), (133, 0.1), (174, 0.11), (341, 0.12), (290, 0.12)]
Record = 53 [(407, 0.02), (281, 0.02), (148, 0.11), (261, 0.11), (458, 0.12), (70, 0.79), (376, 0.79), (26, 0.79), (46, 0.79), (47, 0.79)]
Record = 54 [(145, 0.04), (195, 0.08), (64, 0.15), (33, 0.15), (408, 0.15), (262, 0.16), (193, 0.17), (431, 0.18), (233, 0.19), (388, 0.2)]
Record = 55 [(131, 1.0), (223, 1.0), (34, 1.01), (157, 1.04), (319, 1.04), (118, 1.04), (263, 1.04), (345, 1.04), (427, 1.04), (285, 1.04)]
Record = 56 [(14, 0.79), (52, 0.8), (180, 0.82), (391, 0.83), (125, 0.84), (498, 0.85), (133, 0.86), (341, 0.86), (259, 0.87), (456, 0.87)]
Record = 57 [(295, 0.07), (129, 0.08), (356, 0.09), (96, 0.13), (253, 0.16), (289, 0.17), (85, 0.85), (467, 1.0), (310, 1.01), (473, 1.01)]
Record = 58 [(507, 0.1), (112, 0.22), (434, 0.22), (5, 0.22), (95, 0.22), (432, 0.23), (269, 0.23), (240, 0.23), (90, 0.23), (338, 0.23)]
Record = 59 [(63, 0.0), (320, 0.01), (373, 0.01), (226, 0.02), (137, 0.02), (185, 0.02), (357, 0.03), (87, 0.03), (171, 0.03), (283, 0.04)]
Record = 60 [(375, 0.0), (118, 0.01), (263, 0.02), (345, 0.03), (157, 0.03), (159, 0.04), (190, 0.06), (427, 0.07), (315, 0.09), (450, 0.12)]
Record = 61 [(272, 1.2), (265, 2.02), (8, 2.05), (394, 2.07), (116, 2.14), (182, 2.14), (55, 2.14), (455, 2.14), (258, 2.18), (383, 2.19)]
Record = 62 [(291, 0.04), (257, 0.07), (132, 0.1), (216, 0.1), (206, 0.11), (0, 1.0), (451, 1.01), (388, 1.01), (395, 1.01), (253, 1.01)]
Record = 63 [(320, 0.0), (59, 0.0), (373, 0.01), (226, 0.02), (87, 0.02), (283, 0.02), (137, 0.02), (171, 0.02), (185, 0.02), (357, 0.02)]
Record = 64 [(388, 0.01), (408, 0.04), (377, 0.05), (162, 0.09), (262, 0.12), (33, 0.13), (195, 0.13), (431, 0.13), (193, 0.14), (54, 0.15)]
Record = 65 [(150, 0.1), (428, 0.11), (482, 1.1), (426, 1.11), (250, 2.03), (302, 2.06), (154, 2.12), (11, 2.13), (314, 2.14), (265, 2.19)]
Record = 66 [(193, 0.05), (162, 0.07), (195, 0.08), (233, 0.08), (377, 0.08), (262, 0.1), (408, 0.12), (33, 0.14), (252, 0.14), (145, 0.19)]
Record = 67 [(323, 0.01), (324, 0.02), (297, 0.04), (184, 0.12), (450, 1.01), (315, 1.01), (316, 1.02), (354, 1.02), (190, 1.02), (159, 1.03)]
Record = 68 [(32, 0.1), (306, 1.02), (248, 1.02), (415, 1.03), (489, 1.04), (154, 1.04), (77, 1.04), (160, 1.05), (4, 1.05), (199, 1.05)]
Record = 69 [(40, 0.73), (128, 1.0), (43, 1.0), (144, 1.03), (13, 1.25), (48, 1.27), (397, 1.32), (455, 1.39), (239, 1.4), (331, 1.42)]
Record = 70 [(241, 0.0), (376, 0.0), (26, 0.0), (475, 0.0), (47, 0.0), (347, 0.01), (179, 0.01), (30, 0.01), (27, 0.01), (46, 0.01)]
Record = 71 [(305, 0.0), (230, 0.0), (423, 0.0), (360, 0.0), (222, 0.02), (409, 0.03), (7, 0.03), (443, 0.04), (340, 0.04), (235, 0.04)]
Record = 72 [(115, 0.01), (77, 0.02), (466, 0.03), (160, 0.06), (492, 0.06), (78, 0.07), (256, 0.08), (415, 0.1), (154, 0.15), (165, 0.17)]
Record = 73 [(275, 0.01), (390, 0.04), (312, 0.04), (92, 0.04), (313, 0.05), (502, 0.06), (191, 0.06), (100, 0.07), (351, 0.08), (270, 0.08)]
Record = 74 [(399, 0.02), (164, 1.01), (265, 1.04), (326, 1.06), (223, 1.06), (34, 1.09), (285, 1.09), (207, 1.09), (22, 1.1), (200, 1.11)]
Record = 75 [(437, 0.02), (485, 0.05), (319, 0.1), (374, 0.28), (491, 1.0), (369, 1.01), (340, 1.01), (89, 1.01), (45, 1.01), (389, 1.01)]
Record = 76 [(339, 1.84), (55, 1.84), (258, 1.99), (394, 2.03), (370, 2.07), (300, 2.13), (217, 2.27), (515, 2.31), (379, 2.31), (405, 2.58)]
Record = 77 [(160, 0.01), (466, 0.02), (72, 0.02), (115, 0.04), (415, 0.05), (154, 0.06), (256, 0.08), (492, 0.08), (78, 0.08), (165, 0.13)]
